_idx,p__d31001,p__d31002,p__d31003,p__d31005,p__d31007,p__m01001,p__m01002,p__m01003,p__m01004,p__m01005,p__m01006,p__m01007,p__m01008,p__m01009,p__m01010,p__m01011,p__m01012,p__m01013,p__m01014,p__m01015,p__m01016,p__m01017,p__m01018,p__m01019,p__m01020,p__m01021,p__m01022,p__m01023,p__m01024,p__d26001,p__d26075,p__d26092,p__d11001,p__d22001,p__d28001,p__d29001,_model,_wave,성별,연령대,_error
853,3.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
854,3.0,2.0,,,,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
855,2.0,1.0,1.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
856,2.0,2.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,exaone,2024,남성,3,
857,2.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
858,2.0,2.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
859,2.0,1.0,10.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
860,2.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,exaone,2024,남성,3,
861,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
862,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
863,2.0,2.0,,,,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
864,2.0,2.0,,,,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
865,2.0,2.0,,,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
866,2.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
867,2.0,1.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
868,3.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,exaone,2024,남성,3,
869,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
870,2.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,exaone,2024,남성,3,
871,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
872,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
873,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
874,4.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
875,3.0,1.0,10.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
876,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
877,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
878,3.0,1.0,10.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
879,3.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
880,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
881,3.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
882,3.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
883,2.0,2.0,,,,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,exaone,2024,남성,3,
884,2.0,2.0,,,,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
885,2.0,2.0,,,,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,exaone,2024,남성,3,
886,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,exaone,2024,남성,3,
887,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
888,3.0,2.0,,,,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
889,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
890,3.0,1.0,10.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
891,3.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
892,2.0,2.0,,,,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
893,2.0,2.0,,,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
894,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,exaone,2024,남성,3,
895,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,exaone,2024,남성,3,
896,2.0,2.0,,,,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,exaone,2024,남성,3,
897,2.0,1.0,10.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
898,2.0,1.0,9.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
899,3.0,2.0,,,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
900,3.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
901,2.0,2.0,,,,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
902,3.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
903,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
904,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
905,2.0,2.0,,,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,exaone,2024,남성,3,
906,2.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
907,2.0,2.0,,,,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
908,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
909,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,exaone,2024,남성,3,
910,3.0,2.0,,,,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
911,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
912,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,exaone,2024,남성,3,
913,2.0,2.0,,,,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
914,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,exaone,2024,남성,3,
915,3.0,2.0,,,,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
916,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
917,3.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
918,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,exaone,2024,남성,3,
919,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
920,2.0,1.0,10.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
921,2.0,2.0,,,,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,exaone,2024,남성,3,
922,2.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
923,2.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
924,2.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
925,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
926,2.0,1.0,10.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
927,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,exaone,2024,남성,3,
928,4.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
929,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
930,3.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
931,2.0,2.0,,,,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,exaone,2024,남성,3,
932,2.0,1.0,10.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,exaone,2024,남성,3,
933,3.0,2.0,,,,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,exaone,2024,남성,3,
934,2.0,2.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,exaone,2024,남성,3,
935,2.0,2.0,,,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
936,2.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
937,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,exaone,2024,남성,3,
938,2.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
939,2.0,2.0,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,exaone,2024,남성,3,
940,2.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,exaone,2024,남성,3,
